[columbus2 - Thread-3 (2012-03-15 17:43:38,494)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static int edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.findClosestValue_1(int[],java.lang.Integer,edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-2 (2012-03-15 17:43:38,494)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@16d871c0
[columbus2 - Thread-3 (2012-03-15 17:43:38,494)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [I@42c126c5
[columbus2 - Thread-2 (2012-03-15 17:43:38,494)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-3 (2012-03-15 17:43:38,495)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: 3
[columbus2 - Thread-3 (2012-03-15 17:43:38,495)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@16d871c0
[columbus2 - Thread-3 (2012-03-15 17:43:38,495)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private int edu.columbia.cs.psl.metamorphic.example.ProcessorTester.findClosestValue(int[],java.lang.Integer)
[columbus2 - Thread-4 (2012-03-15 17:43:38,532)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(107) | Calling public static java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester_tests.pickFirstString_0(java.lang.String[],edu.columbia.cs.psl.metamorphic.example.ProcessorTester,java.lang.reflect.Method) throws java.lang.Exception
[columbus2 - Thread-4 (2012-03-15 17:43:38,532)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: [Ljava.lang.String;@ed73f64
[columbus2 - Thread-4 (2012-03-15 17:43:38,533)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: edu.columbia.cs.psl.metamorphic.example.ProcessorTester@5582c5d8
[columbus2 - Thread-4 (2012-03-15 17:43:38,533)] DEBUG edu.columbia.cs.psl.metamorphic.runtime.Interceptor$1.run(110) | Param: private java.lang.String edu.columbia.cs.psl.metamorphic.example.ProcessorTester.pickFirstString(java.lang.String[])
